event_name,event_date,location,bout,fighter_a,fighter_b,winner,outcome_a,outcome_b,weight_class,method,finish_round,finish_time,time_format,referee,fight_url
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Chuck Liddell vs. Noe Hernandez,Chuck Liddell,Noe Hernandez,Chuck Liddell,W,L,Middleweight Bout,Decision - Unanimous,1,12:00,1 Rnd (12),Joe Hamilton,http://ufcstats.com/fight-details/ea535b46e0f69ad3
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Frank Shamrock vs. Jeremy Horn,Frank Shamrock,Jeremy Horn,Frank Shamrock,W,L,UFC Light Heavyweight Title Bout,Submission,2,1:28,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/1d3c1dedfba6eddc
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Pete Williams vs. Mark Coleman,Pete Williams,Mark Coleman,Pete Williams,W,L,Heavyweight Bout,KO/TKO,2,0:38,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/a4d8e991ec42b048
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Dan Henderson vs. Carlos Newton,Dan Henderson,Carlos Newton,Dan Henderson,W,L,UFC 17 Middleweight Tournament Title Bout,Decision - Split,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/17526cb9fb6072ef
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Andre Roberts vs. Harry Moskowitz,Andre Roberts,Harry Moskowitz,Andre Roberts,W,L,Heavyweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/8b258bbb37f74a66
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Mike van Arsdale vs. Joe Pardo,Mike van Arsdale,Joe Pardo,Mike van Arsdale,W,L,Heavyweight Bout,Submission,1,11:01,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/74dcccd3d2f487a1
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Carlos Newton vs. Bob Gilstrap,Carlos Newton,Bob Gilstrap,Carlos Newton,W,L,Middleweight Bout,Submission,1,0:52,1 Rnd + OT (12-3),Joe Hamilton,http://ufcstats.com/fight-details/8d83354075a937f2
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Dan Henderson vs. Allan Goes,Dan Henderson,Allan Goes,Dan Henderson,W,L,Middleweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),Joe Hamilton,http://ufcstats.com/fight-details/21aa163b80e504f9
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",David Abbott vs. Hugo Duarte,David Abbott,Hugo Duarte,David Abbott,W,L,Heavyweight Bout,KO/TKO,1,0:43,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/1e14e79a477f2357
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Cesar Marscucci vs. Paulo Santos,Cesar Marscucci,Paulo Santos,Cesar Marscucci,W,L,Lightweight Bout,KO/TKO,1,10:27,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/635fbf57001897c7
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Tulio Palhares vs. Adriano Santos,Tulio Palhares,Adriano Santos,Tulio Palhares,W,L,Middleweight Bout,KO/TKO,1,9:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/35b871e0bdc1415b
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Ebenezer Fontes Braga vs. Jeremy Horn,Ebenezer Fontes Braga,Jeremy Horn,Ebenezer Fontes Braga,W,L,Middleweight Bout,Submission,1,3:27,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/b6de61e312dbb1db
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Tsuyoshi Kohsaka vs. Pete Williams,Tsuyoshi Kohsaka,Pete Williams,Tsuyoshi Kohsaka,W,L,Heavyweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/dbdad3eb157703bc
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Pat Miletich vs. Mikey Burnett,Pat Miletich,Mikey Burnett,Pat Miletich,W,L,UFC Welterweight Title Bout,Decision - Split,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/07423d10cc23bfeb
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Pedro Rizzo vs. David Abbott,Pedro Rizzo,David Abbott,Pedro Rizzo,W,L,Heavyweight Bout,KO/TKO,1,8:07,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/f85bbc760000f001
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Vitor Belfort vs. Wanderlei Silva,Vitor Belfort,Wanderlei Silva,Vitor Belfort,W,L,Middleweight Bout,KO/TKO,1,0:44,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/3261bd16c10e3014
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Frank Shamrock vs. John Lober,Frank Shamrock,John Lober,Frank Shamrock,W,L,UFC Light Heavyweight Title Bout,Submission,1,7:40,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/c8a04210d832a928
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Pat Miletich vs. Jorge Patino,Pat Miletich,Jorge Patino,Pat Miletich,W,L,UFC Welterweight Title Bout,Decision - Unanimous,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/453118d7f05be814
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Pedro Rizzo vs. Mark Coleman,Pedro Rizzo,Mark Coleman,Pedro Rizzo,W,L,Heavyweight Bout,Decision - Split,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/86090172facd6cf7
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Bas Rutten vs. Tsuyoshi Kohsaka,Bas Rutten,Tsuyoshi Kohsaka,Bas Rutten,W,L,Heavyweight Bout,KO/TKO,2,2:15,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/3fc4d9f17be8d003
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Mikey Burnett vs. Townsend Saunders,Mikey Burnett,Townsend Saunders,Mikey Burnett,W,L,Lightweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),Tony Mullinax,http://ufcstats.com/fight-details/48fccedc8889a473
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Evan Tanner vs. Darrel Gholar,Evan Tanner,Darrel Gholar,Evan Tanner,W,L,Middleweight Bout,Submission,1,7:57,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/fb8e8d1a734b6fe8
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Laverne Clark vs. Frank Caracci,Laverne Clark,Frank Caracci,Laverne Clark,W,L,Lightweight Bout,KO/TKO,1,6:52,1 Rnd + OT (12-3),Tony Mullinax,http://ufcstats.com/fight-details/0cf7636471fc5e45
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Tito Ortiz vs. Jerry Bohlander,Tito Ortiz,Jerry Bohlander,Tito Ortiz,W,L,Middleweight Bout,TKO - Doctor's Stoppage,2,2:31,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/6c15d41df17349c9
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Sione Latu vs. Joey Roberts,Sione Latu,Joey Roberts,Sione Latu,W,L,Heavyweight Bout,TKO - Doctor's Stoppage,1,10:01,1 Rnd + OT (12-3),Tony Mullinax,http://ufcstats.com/fight-details/03afd7b6a217aaac
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Pete Williams vs. Jason Godsey,Pete Williams,Jason Godsey,Pete Williams,W,L,Heavyweight Bout,Submission,1,1:56,1 Rnd + OT (12-3),Tony Mullinax,http://ufcstats.com/fight-details/9a38c18f00bb8b8e
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Evan Tanner vs. Valeri Ignatov,Evan Tanner,Valeri Ignatov,Evan Tanner,W,L,Middleweight Bout,KO/TKO,1,2:58,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/25215e8c06d7d63f
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Kevin Randleman vs. Maurice Smith,Kevin Randleman,Maurice Smith,Kevin Randleman,W,L,Heavyweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/997753de17f81e3a
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Jeremy Horn vs. Chuck Liddell,Jeremy Horn,Chuck Liddell,Jeremy Horn,W,L,Middleweight Bout,Submission,1,12:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/b26c2f616c9436fb
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Gary Goodridge vs. Andre Roberts,Gary Goodridge,Andre Roberts,Gary Goodridge,W,L,Heavyweight Bout,KO/TKO,1,0:43,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/28f31c3fd7afe737
UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",Tito Ortiz vs. Guy Mezger,Tito Ortiz,Guy Mezger,Tito Ortiz,W,L,Middleweight Bout,KO/TKO,1,9:56,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/c03d0d781df4ad2a
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Bas Rutten vs. Kevin Randleman,Bas Rutten,Kevin Randleman,Bas Rutten,W,L,UFC Heavyweight Title Bout,Decision - Split,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/73c07530f667289f
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Pedro Rizzo vs. Tra Telligman,Pedro Rizzo,Tra Telligman,Pedro Rizzo,W,L,Heavyweight Bout,KO/TKO,1,4:30,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/99b5010fd25911af
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Pete Williams vs. Travis Fulton,Pete Williams,Travis Fulton,Pete Williams,W,L,Heavyweight Bout,Submission,1,6:28,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/a3fe8217502c42a4
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Ron Waterman vs. Chris Condo,Ron Waterman,Chris Condo,Ron Waterman,W,L,Heavyweight Bout,KO/TKO,1,0:28,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/79f9086932f21016
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Marcelo Mello vs. David Roberts,Marcelo Mello,David Roberts,Marcelo Mello,W,L,Lightweight Bout,KO/TKO,1,1:23,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/6bb2a427004deecc
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Laverne Clark vs. Fabiano Iha,Laverne Clark,Fabiano Iha,Laverne Clark,W,L,Lightweight Bout,TKO - Doctor's Stoppage,1,1:21,1 Rnd + OT (12-3),Mario Yamasaki,http://ufcstats.com/fight-details/3a271d9d9210a818
UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",Wanderlei Silva vs. Tony Petarra,Wanderlei Silva,Tony Petarra,Wanderlei Silva,W,L,Middleweight Bout,KO/TKO,1,2:53,1 Rnd + OT (12-3),Mario Yamasaki,http://ufcstats.com/fight-details/c892b23ad8f2208b
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Pat Miletich vs. Andre Pederneiras,Pat Miletich,Andre Pederneiras,Pat Miletich,W,L,UFC Welterweight Title Bout,TKO - Doctor's Stoppage,2,1:34,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/df8d4014d8206ab1
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Maurice Smith vs. Marco Ruas,Maurice Smith,Marco Ruas,Maurice Smith,W,L,Heavyweight Bout,KO/TKO,1,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/62ac5bff3c181f50
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Jeremy Horn vs. Daiju Takase,Jeremy Horn,Daiju Takase,Jeremy Horn,W,L,Middleweight Bout,KO/TKO,1,4:41,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/38e3986b7cfff608
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Travis Fulton vs. David Dodd,Travis Fulton,David Dodd,Travis Fulton,W,L,Heavyweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),John McCarthy,http://ufcstats.com/fight-details/1db8bed8b4d30fb3
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Tsuyoshi Kohsaka vs. Tim Lajcik,Tsuyoshi Kohsaka,Tim Lajcik,Tsuyoshi Kohsaka,W,L,Heavyweight Bout,KO/TKO,2,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/3e4199f9a69bac88
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Eugene Jackson vs. Royce Alger,Eugene Jackson,Royce Alger,Eugene Jackson,W,L,Middleweight Bout,KO/TKO,2,1:19,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/693e4a0bed9a1369
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Andre Roberts vs. Ron Waterman,Andre Roberts,Ron Waterman,Andre Roberts,W,L,Heavyweight Bout,KO/TKO,1,2:51,2 Rnd (5-5),John McCarthy,http://ufcstats.com/fight-details/c6f8541973f69080
UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",Paul Jones vs. Flavio Luiz Moura,Paul Jones,Flavio Luiz Moura,Paul Jones,W,L,Middleweight Bout,Submission,1,4:20,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/82cf32aea3d7edf3
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Jens Pulver vs. Alfonso Alcarez,Jens Pulver,Alfonso Alcarez,,D,D,Lightweight Bout,Decision - Majority,2,5:00,2 Rnd (5-5),,http://ufcstats.com/fight-details/a1c1e3c1e9c6cf1e
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",John Lewis vs. Lowell Anderson,John Lewis,Lowell Anderson,John Lewis,W,L,Middleweight Bout,KO/TKO,3,0:13,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/968cd768ac41e6ee
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Matt Hughes vs. Valeri Ignatov,Matt Hughes,Valeri Ignatov,Matt Hughes,W,L,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/d9e86958bcb15c26
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Chuck Liddell vs. Paul Jones,Chuck Liddell,Paul Jones,Chuck Liddell,W,L,Middleweight Bout,TKO - Doctor's Stoppage,1,3:53,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/c6ead49500c047e5
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Brad Kohler vs. Steve Judson,Brad Kohler,Steve Judson,Brad Kohler,W,L,Heavyweight Bout,KO/TKO,1,0:30,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/c57acf13de48330a
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Jeremy Horn vs. Jason Godsey,Jeremy Horn,Jason Godsey,Jeremy Horn,W,L,Heavyweight Bout,Submission,1,2:08,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/eebf672428b168b7
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Tim Lajcik vs. Ron Waterman,Tim Lajcik,Ron Waterman,,D,D,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/96c247ba0eb1ac65
UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",Frank Shamrock vs. Tito Ortiz,Frank Shamrock,Tito Ortiz,Frank Shamrock,W,L,UFC Light Heavyweight Title Bout,KO/TKO,4,4:42,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/b1134affa18449dd
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Kevin Randleman vs. Pete Williams,Kevin Randleman,Pete Williams,Kevin Randleman,W,L,UFC Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/2ab41c5519d0b1b9
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Pedro Rizzo vs. Tsuyoshi Kohsaka,Pedro Rizzo,Tsuyoshi Kohsaka,Pedro Rizzo,W,L,Heavyweight Bout,KO/TKO,3,1:17,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/c22545a5881459ac
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Kenichi Yamamoto vs. Katsuhisa Fujii,Kenichi Yamamoto,Katsuhisa Fujii,Kenichi Yamamoto,W,L,Ultimate Japan 2 Heavyweight Tournament Title Bout,Submission,2,4:15,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/9c7830c91fad60d8
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Eugene Jackson vs. Keiichiro Yamamiya,Eugene Jackson,Keiichiro Yamamiya,Eugene Jackson,W,L,Middleweight Bout,KO/TKO,3,3:12,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/36c929fb1569d4b9
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Kenichi Yamamoto vs. Daiju Takase,Kenichi Yamamoto,Daiju Takase,Kenichi Yamamoto,W,L,Open Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/a4e592c874e8233f
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Katsuhisa Fujii vs. Masutatsu Yano,Katsuhisa Fujii,Masutatsu Yano,Katsuhisa Fujii,W,L,Open Weight Bout,KO/TKO,2,3:12,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/ee1950e871aa5cc2
UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",Joe Slick vs. Jason DeLucia,Joe Slick,Jason DeLucia,Joe Slick,W,L,Middleweight Bout,KO/TKO,1,1:28,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/2cd6330ef18210b9
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Shonie Carter vs. Brad Gumm,Shonie Carter,Brad Gumm,Shonie Carter,W,L,Lightweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Dan Severn,http://ufcstats.com/fight-details/77f9b97f62f373b0
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Scott Adams vs. Ian Freeman,Scott Adams,Ian Freeman,Scott Adams,W,L,Heavyweight Bout,Submission,1,3:09,2 Rnd (5-5),Dan Severn,http://ufcstats.com/fight-details/81b0c08f7503e79a
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Jens Pulver vs. David Velasquez,Jens Pulver,David Velasquez,Jens Pulver,W,L,Lightweight Bout,KO/TKO,2,2:41,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/cf85523b0d442d35
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Bob Cook vs. Tiki Ghosn,Bob Cook,Tiki Ghosn,Bob Cook,W,L,Lightweight Bout,Submission,2,1:29,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/22911cbd32370f6c
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Dave Menne vs. Fabiano Iha,Dave Menne,Fabiano Iha,Dave Menne,W,L,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/aca2f98ee112d137
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Lance Gibson vs. Jermaine Andre,Lance Gibson,Jermaine Andre,Lance Gibson,W,L,Middleweight Bout,KO/TKO,3,3:35,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/17be6e24dafd31e0
UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",Tedd Williams vs. Steve Judson,Tedd Williams,Steve Judson,Tedd Williams,W,L,Heavyweight Bout,KO/TKO,1,3:23,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/9f2b94c46b70c6fb
UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",Tito Ortiz vs. Wanderlei Silva,Tito Ortiz,Wanderlei Silva,Tito Ortiz,W,L,UFC Light Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/0adfdf8f563be462
UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",Sanae Kikuta vs. Eugene Jackson,Sanae Kikuta,Eugene Jackson,Sanae Kikuta,W,L,Middleweight Bout,Submission,1,4:38,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/ba8b1ed5b05a719a
UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",Murilo Bustamante vs. Yoji Anjo,Murilo Bustamante,Yoji Anjo,Murilo Bustamante,W,L,Middleweight Bout,Submission,2,0:31,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/b675fb8f413b59e4
UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",Laverne Clark vs. Koji Oishi,Laverne Clark,Koji Oishi,Laverne Clark,W,L,Lightweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/cf8fe599f0b44fd5
UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",Ikuhisa Minowa vs. Joe Slick,Ikuhisa Minowa,Joe Slick,Ikuhisa Minowa,W,L,Middleweight Bout,TKO - Doctor's Stoppage,3,1:54,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/9397493152c0669a
UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",Ron Waterman vs. Satoshi Honma,Ron Waterman,Satoshi Honma,Ron Waterman,W,L,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/f6066d192a16f5ff
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Shonie Carter vs. Adrian Serrano,Shonie Carter,Adrian Serrano,Shonie Carter,W,L,Welterweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),John McCarthy,http://ufcstats.com/fight-details/85f28a8276a141b6
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Ian Freeman vs. Nate Schroeder,Ian Freeman,Nate Schroeder,Ian Freeman,W,L,Heavyweight Bout,KO/TKO,2,2:13,2 Rnd (5-5),John McCarthy,http://ufcstats.com/fight-details/7edac7a0a2f72f28
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Jens Pulver vs. Joao Roque,Jens Pulver,Joao Roque,Jens Pulver,W,L,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/8452f6d5a1450cfb
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Matt Hughes vs. Marcelo Aguiar,Matt Hughes,Marcelo Aguiar,Matt Hughes,W,L,Welterweight Bout,TKO - Doctor's Stoppage,1,4:34,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/d84f88ac792e8c53
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Amaury Bitetti vs. Alex Andrade,Amaury Bitetti,Alex Andrade,Amaury Bitetti,W,L,Middleweight Bout,DQ,2,0:43,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/a0dfc397caef4afe
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Pat Miletich vs. John Alessio,Pat Miletich,John Alessio,Pat Miletich,W,L,UFC Welterweight Title Bout,Submission,2,1:43,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/f0b2020d11a0cf94
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Tyrone Roberts vs. David Dodd,Tyrone Roberts,David Dodd,Tyrone Roberts,W,L,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/60e5b2c1bdaa203e
UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",Kevin Randleman vs. Pedro Rizzo,Kevin Randleman,Pedro Rizzo,Kevin Randleman,W,L,UFC Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/cef1b43c77e02635
UFC 27: Ultimate Bad Boyz,2000-09-22,"New Orleans, Louisiana, USA",Maurice Smith vs. Bobby Hoffman,Maurice Smith,Bobby Hoffman,Maurice Smith,W,L,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/c5bec85a32462995
UFC 27: Ultimate Bad Boyz,2000-09-22,"New Orleans, Louisiana, USA",Jeremy Horn vs. Eugene Jackson,Jeremy Horn,Eugene Jackson,Jeremy Horn,W,L,Middleweight Bout,Submission,1,4:32,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/3ef7c2b26af8cf22
UFC 27: Ultimate Bad Boyz,2000-09-22,"New Orleans, Louisiana, USA",Fabiano Iha vs. Laverne Clark,Fabiano Iha,Laverne Clark,Fabiano Iha,W,L,Welterweight Bout,Submission,1,1:10,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/0bec32c32da199ed
UFC 27: Ultimate Bad Boyz,2000-09-22,"New Orleans, Louisiana, USA",Pedro Rizzo vs. Dan Severn,Pedro Rizzo,Dan Severn,Pedro Rizzo,W,L,Heavyweight Bout,KO/TKO,1,1:33,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/794ec0a93eca0492
UFC 27: Ultimate Bad Boyz,2000-09-22,"New Orleans, Louisiana, USA",Ian Freeman vs. Tedd Williams,Ian Freeman,Tedd Williams,Ian Freeman,W,L,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/ae54f944d1ba378f
